# offset        phase_noise     
1.000E+01       -89.38          
1.150E+01       -89.84          
1.322E+01       -90.26          
1.520E+01       -90.62          
1.748E+01       -90.92          
2.009E+01       -91.17          
2.310E+01       -91.39          
2.656E+01       -91.59          
3.054E+01       -91.78          
3.511E+01       -92.01          
4.037E+01       -92.29          
4.642E+01       -92.65          
5.337E+01       -93.11          
6.136E+01       -93.69          
7.055E+01       -94.40          
8.111E+01       -95.25          
9.326E+01       -96.25          
1.072E+02       -97.50          
1.233E+02       -98.99          
1.417E+02       -100.64         
1.630E+02       -102.43         
1.874E+02       -104.34         
2.154E+02       -106.36         
2.477E+02       -108.47         
2.848E+02       -110.65         
3.275E+02       -112.88         
3.765E+02       -115.12         
4.329E+02       -117.35         
4.977E+02       -119.55         
5.722E+02       -121.70         
6.579E+02       -123.80         
7.565E+02       -125.84         
8.697E+02       -127.82         
1.000E+03       -129.76         
1.150E+03       -130.78         
1.322E+03       -131.74         
1.520E+03       -132.68         
1.748E+03       -133.61         
2.009E+03       -134.53         
2.310E+03       -135.45         
2.656E+03       -136.36         
3.054E+03       -137.27         
3.511E+03       -138.18         
4.037E+03       -139.09         
4.642E+03       -140.00         
5.337E+03       -140.91         
6.136E+03       -141.82         
7.055E+03       -142.73         
8.111E+03       -143.64         
9.326E+03       -144.55         
1.072E+04       -145.15         
1.233E+04       -145.45         
1.417E+04       -145.76         
1.630E+04       -146.06         
1.874E+04       -146.36         
2.154E+04       -146.67         
2.477E+04       -146.97         
2.848E+04       -147.27         
3.275E+04       -147.58         
3.765E+04       -147.88         
4.329E+04       -148.18         
4.977E+04       -148.48         
5.722E+04       -148.79         
6.579E+04       -149.09         
7.565E+04       -149.39         
8.697E+04       -149.70         
1.000E+05       -150.00         
1.150E+05       -150.30         
1.322E+05       -150.61         
1.520E+05       -150.91         
1.748E+05       -151.21         
2.009E+05       -151.52         
2.310E+05       -151.82         
2.656E+05       -152.12         
3.054E+05       -152.42         
3.511E+05       -152.73         
4.037E+05       -153.03         
4.642E+05       -153.33         
5.337E+05       -153.64         
6.136E+05       -153.94         
7.055E+05       -154.24         
8.111E+05       -154.55         
9.326E+05       -154.85         
1.072E+06       -155.15         
1.233E+06       -155.45         
1.417E+06       -155.76         
1.630E+06       -156.06         
1.874E+06       -156.36         
2.154E+06       -156.67         
2.477E+06       -156.97         
2.848E+06       -157.27         
3.275E+06       -157.58         
3.765E+06       -157.88         
4.329E+06       -158.18         
4.977E+06       -158.48         
5.722E+06       -158.79         
6.579E+06       -159.09         
7.565E+06       -159.39         
8.697E+06       -159.70         
1.000E+07       -160.00         
