# offset        reference       chip            vco             phase_noise 
1.000E+01       -31.73          -76.40          -171.61         -31.73          
1.150E+01       -32.94          -76.96          -170.27         -32.94          
1.322E+01       -34.16          -77.51          -168.94         -34.16          
1.520E+01       -35.37          -78.05          -167.61         -35.37          
1.748E+01       -36.58          -78.59          -166.27         -36.58          
2.009E+01       -37.79          -79.12          -164.94         -37.79          
2.310E+01       -39.00          -79.64          -163.61         -39.00          
2.656E+01       -40.22          -80.14          -162.27         -40.22          
3.054E+01       -41.43          -80.64          -160.94         -41.43          
3.511E+01       -42.64          -81.12          -159.61         -42.64          
4.037E+01       -43.85          -81.58          -158.27         -43.85          
4.642E+01       -45.06          -82.04          -156.94         -45.06          
5.337E+01       -46.28          -82.47          -155.61         -46.28          
6.136E+01       -47.49          -82.89          -154.27         -47.49          
7.055E+01       -48.70          -83.28          -152.94         -48.70          
8.111E+01       -49.91          -83.66          -151.61         -49.91          
9.326E+01       -51.13          -84.02          -150.27         -51.12          
1.072E+02       -52.31          -84.36          -148.94         -52.31          
1.233E+02       -53.46          -84.68          -147.61         -53.46          
1.417E+02       -54.61          -84.97          -146.27         -54.61          
1.630E+02       -55.76          -85.25          -144.94         -55.76          
1.874E+02       -56.91          -85.50          -143.61         -56.91          
2.154E+02       -58.06          -85.73          -142.27         -58.06          
2.477E+02       -59.22          -85.95          -140.94         -59.21          
2.848E+02       -60.37          -86.14          -139.61         -60.36          
3.275E+02       -61.52          -86.32          -138.27         -61.51          
3.765E+02       -62.67          -86.48          -136.94         -62.66          
4.329E+02       -63.82          -86.62          -135.61         -63.80          
4.977E+02       -64.97          -86.75          -134.27         -64.95          
5.722E+02       -66.12          -86.87          -132.94         -66.09          
6.579E+02       -67.27          -86.97          -131.61         -67.23          
7.565E+02       -68.42          -87.06          -130.27         -68.37          
8.697E+02       -69.57          -87.14          -128.94         -69.51          
1.000E+03       -70.72          -87.21          -127.61         -70.64          
1.150E+03       -71.15          -87.27          -126.28         -71.05          
1.322E+03       -71.57          -87.32          -124.95         -71.46          
1.520E+03       -71.99          -87.37          -123.62         -71.87          
1.748E+03       -72.40          -87.40          -122.29         -72.28          
2.009E+03       -72.82          -87.44          -120.96         -72.68          
2.310E+03       -73.23          -87.46          -119.63         -73.08          
2.656E+03       -73.64          -87.47          -118.31         -73.48          
3.054E+03       -74.05          -87.48          -116.99         -73.87          
3.511E+03       -74.45          -87.48          -115.67         -74.25          
4.037E+03       -74.85          -87.47          -114.36         -74.62          
4.642E+03       -75.23          -87.45          -113.05         -74.98          
5.337E+03       -75.61          -87.41          -111.76         -75.33          
6.136E+03       -75.97          -87.36          -110.47         -75.67          
7.055E+03       -76.31          -87.29          -109.20         -75.98          
8.111E+03       -76.63          -87.20          -107.95         -76.27          
9.326E+03       -76.94          -87.09          -106.72         -76.54          
1.072E+04       -77.00          -86.95          -105.32         -76.58          
1.233E+04       -76.83          -86.79          -103.74         -76.41          
1.417E+04       -76.64          -86.60          -102.21         -76.21          
1.630E+04       -76.43          -86.40          -100.75         -76.00          
1.874E+04       -76.22          -86.19          -99.37          -75.78          
2.154E+04       -76.02          -85.99          -98.08          -75.58          
2.477E+04       -75.84          -85.82          -96.89          -75.40          
2.848E+04       -75.73          -85.71          -95.84          -75.27          
3.275E+04       -75.69          -85.67          -94.92          -75.23          
3.765E+04       -75.75          -85.73          -94.16          -75.27          
4.329E+04       -75.93          -85.91          -93.56          -75.44          
4.977E+04       -76.25          -86.24          -93.14          -75.75          
5.722E+04       -76.72          -86.71          -92.89          -76.22          
6.579E+04       -77.37          -87.36          -92.82          -76.84          
7.565E+04       -78.18          -88.18          -92.93          -77.64          
8.697E+04       -79.18          -89.17          -93.20          -78.61          
1.000E+05       -80.35          -90.35          -93.62          -79.75          
1.150E+05       -81.70          -91.70          -94.19          -81.07          
1.322E+05       -83.22          -93.22          -94.88          -82.55          
1.520E+05       -84.91          -94.91          -95.67          -84.18          
1.748E+05       -86.76          -96.75          -96.54          -85.95          
2.009E+05       -88.75          -98.75          -97.46          -87.84          
2.310E+05       -90.89          -100.89         -98.40          -89.83          
2.656E+05       -93.16          -103.16         -99.36          -91.89          
3.054E+05       -95.56          -105.56         -100.29         -93.99          
3.511E+05       -98.09          -108.09         -101.20         -96.08          
4.037E+05       -100.73         -110.73         -102.08         -98.10          
4.642E+05       -103.50         -113.49         -102.91         -99.99          
5.337E+05       -106.37         -116.37         -103.71         -101.68         
6.136E+05       -109.36         -119.36         -104.47         -103.14         
7.055E+05       -112.44         -122.44         -105.20         -104.38         
8.111E+05       -115.62         -125.62         -105.92         -105.43         
9.326E+05       -118.88         -128.88         -106.61         -106.34         
1.072E+06       -122.22         -132.22         -107.57         -107.41         
1.233E+06       -125.62         -135.62         -108.80         -108.70         
1.417E+06       -129.06         -139.06         -110.02         -109.96         
1.630E+06       -132.55         -142.55         -111.24         -111.20         
1.874E+06       -136.07         -146.07         -112.45         -112.43         
